"K_basis_1","K_basis_2","K_basis_3","K_basis_4","K_basis_5","K_basis_6","K_basis_7","K_basis_8","K_basis_9","K_basis_10","K_basis_11","K_basis_12","K_basis_13","K_basis_14","K_basis_15"
3.96781018494048e-07,9.10889970268917e-08,1.02725076074326e-07,-4.16294908733449e-08,-2.59437013832719e-07,-1.32959704444581e-07,-1.0468923338583e-07,-1.47657064350213e-08,-2.07825346066119e-08,-2.45192898037583e-08,1.70555435540603e-08,3.99505056675681e-09,-2.71041542043427e-08,1.76815218319201e-09,7.02193697633977e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.96781018493936e-07,9.10889970267895e-08,1.02725076074438e-07,-4.16294908732415e-08,-2.59437013832902e-07,-1.3295970444468e-07,-1.04689233386038e-07,-1.47657064351514e-08,-2.07825346064995e-08,-2.45192898035439e-08,1.70555435542327e-08,3.99505056660689e-09,-2.71041542042687e-08,1.76815218333713e-09,7.02193697616411e-09
3.82995761936842e-07,8.24295282116162e-08,1.03906460490047e-07,-5.34236359508466e-08,-2.63253587210558e-07,-1.36587953401712e-07,-1.06684125888501e-07,-1.26267493198017e-08,-2.07547415703674e-08,-2.43998565479837e-08,1.74807734867613e-08,4.18611541524734e-09,-2.75937232654687e-08,1.13688788406086e-09,6.63435223121515e-09
